id,name,condition,flavorText,description,rollTable
0,Silence,,"Underground, everything goes silent. Even the sound of breathing is gone.","Each explorer in the basement must attempt a Sanity roll.
<rollTable>
Each result affects only the explorer making that roll.","4+  You wait calmly for your hearing to return.
1-3  You scream a silent scream. Take 1 die of mental damage.
0  You freak out. Take 2 dice of mental damage."
1,Mists from the Walls,,"Mists pour out from the walls. There are faces in the mist, human and… inhuman.","Each explorer in the basement must attempt a Sanity roll.
<rollTable>
Each result affects only the explorer making that roll.","4+  The faces are tricks of light and shadow. All is well.
1-3  Take 1 die of mental damage (and 1 additional die of damage if that explorer is in a room with an event symbol).
0  Take 1 die of mental damage (and 2 additional dice of damage if that explorer is in a room with an event symbol)."
2,Burial Mound,,A pile of rocks covering a fresh corpse. Too fresh.,"Put the Burial Mound token in the room. When an explorer exits this room after the haunt is revealed, the corpse attacks. The player on the explorer’s right makes a Might 4 attack against the explorer. If the explorer wins by 3 or more, discard the token",
3,Phone Call,,A phone rings in the room. You feel compelled to answer it.,"Roll 2 dice. A sweet little granny voice says:
<rollTable>","4  “Tea and cakes! Tea and cakes! You always were my favorite!” Gain 1 Sanity.
3  “I’m always here for you, Pattycakes. Watching…” Gain 1 Knowledge.
1-2  “I’m here, Sweetums! Give us a kiss!” Take 1 die of mental damage.
0  “Bad little children must be punished!” Take 2 dice of physical damage."
4,Grave Dirt,,This room is covered in a thick layer of dirt. You cough as it gets on your skin and in your lungs.,"You must attempt a Might roll:
<rollTable>","4+  You shake it off. Gain 1 Might.
0-3  Something is wrong. Keep this card. Take 1 point of physical damage at the start of each of your turns. Discard this card if an item card increases one of your traits or if you end your turn in the Balcony, Gardens, Graveyard, Gymnasium, Larder, Patio, or Tower."
5,Funeral,,You see an open coffin. You’re inside it.,"You must attempt a Sanity roll:
<rollTable>","4+  You blink, and it’s gone. Gain 1 Sanity.
2-3  The vision disturbs you. Lose 1 Sanity.
0-1  You’re really in that coffin. Lose 1 Sanity and 1 Might as you dig yourself out. If the Graveyard or the Crypt has been found, put your explorer in one of those rooms (you choose which one)."
6,Creepy Puppet,,You see one of those dolls that give you the willies. It jumps at you with a tiny spear.,"The player on your right rolls a Might 4 attack for the Creepy Puppet. You defend against this attack as normal, by rolling dice equal to your Might.
If you take any damage from this attack, the explorer with the Spear gains 2 Might (unless you have the Spear).",
7,Something Hidden,,"There’s something odd about this room, but what? It’s tickling the back of your mind.","If you want to try to figure out what’s odd, attempt a Knowledge roll:
<rollTable>","4+  A section of wall slides away, revealing an alcove. Draw an item card.
0-3  You can’t figure it out, and that makes you a bit crazy. Lose 1 Sanity."
8,Image in the Mirror,,,"There is an old mirror in this room. Your frightened reflection moves on its own. You realize it is you from another time. Your reflection writes on the mirror:
“This will help”
Then it hands you an item through the mirror.
Draw an item card.",
9,Footsteps,,"The floorboards slowly creak. Dust rises. Footprints appear on the dirty floor. And then, as they reach, they are gone.","Roll 1 die. (An explorer in the Chapel rolls 1 additional die on this roll.)
<rollTable>","4  You and the nearest explorer gain 1 Might.
3  You gain 1 Might, and the nearest explorer loses 1 Sanity.
2  Lose 1 Sanity.
1  Lose 1 Speed.
0  Each explorer loses 1 point from a trait of their choice."
10,Shrieking Wind,,"The wind picks up, a slow crescendo to a screeching howl.","Each explorer in the Gardens, Graveyard, Patio, Tower, on the Balcony, or in a room with an outside-facing window must attempt a Might roll:
<rollTable>
Each result affects only the explorer making that roll.","5+  You keep your footing.
3-4  The wind knocks you down. Take 1 die of physical damage.
1-2  The wind chills your soul. Take 1 die of mental damage.
0  The wind knocks you down hard. Take 1 die of physical damage. Put one of your items (if you have one) in the Entrance Hall."
11,Disquieting Sounds,,"A baby’s cry, lost and abandoned.
A scream.
The crack of breaking glass.
Then silence.","Roll 6 dice. If you roll equal to or more than the number of omens that have been revealed, you gain 1 Sanity. If not, take 1 die of mental damage.",
12,What the…?,,"As you look back the way you came, you see… nothing. Just empty fog and mist where a room used to be.","Pick up the tile for the room you are in (after setting everything on it aside). Put it somewhere else on the same floor of the house so its door is attached to a different unexplored doorway (and put back everything you set aside). If there isn’t an unexplored doorway on this floor, move the room to a different floor.",
13,Lightning Strikes,,You count the seconds from when you see the flash. Second.,"All explorers on the roof or in an outside room must attempt a Might roll:
<rollTable>","0  Take 2 points of physical damage.
1-3  Take 1 point of physical damage.
4+  Nothing happens."
14,Jonah’s Turn,,"Two boys are playing with a wooden top. “Would you like a turn, Jonah?” one asks.
“No,” says Jonah, “I want all the turns.” Jonah takes the top and hits the other boy in the face. The boy falls. Jonah keeps hitting him as they fade from view.","If an explorer has the Puzzle Box, that explorer discards that item and draws a replacement item for it. If this happens, you gain 1 Sanity; otherwise, you take 1 die of mental damage.",
15,The Walls Have Eyes,,"A series of faded portraits hang on the wall. Their eyes seem to follow you. Is it just a painter’s trick? No, the silent, dead faces are trying to tell you something.","You must attempt a Sanity roll:
<rollTable>","0-2  Lose 1 Sanity.
3  Gain 1 Knowledge.
4+  If the Arsenal is in play, put your figure in the Arsenal and draw an item card. If the Arsenal is not yet in play, search through the room stack until you find it and place it in the house. Then shuffle that stack and put your figure in the Arsenal as if you just discovered it."
16,Whoops!,,"You feel a body under your foot. Before you can leap away from it, you’re knocked over. A giggling voice runs away from you.",Turn over all your item cards (not your omen cards) and shuffle them. The player to your right randomly discards one of them. Then turn your item cards face up again.,
17,Acupuncture,,"This room is pleasantly lit with candles. A woman with long dark hair in a pristine white coat smiles warmly at you. She raises a needle, thin as a hair and longer than her hand. The point of the needle glints in the candlelight as it is driven toward your eye.","Go to an adjacent, discovered room and lose 1 Sanity, or attempt a Might roll:
<rollTable>","0-2  Lose 1 Speed and 1 Might.
3-4  Gain 1 Speed and 1 Might.
5+  Gain 1 Speed, 1 Might, and 1 Sanity."
18,Flytrap,,"An enormous exotic plant stands beneath an elaborate rig of lights and plumbing. Its leaves are brown and withered, its giant flower pod stands partially open, waiting for sustenance. It needs water. It needs to be fed your blood.","Take 1 die of physical damage, put a Plant token in your room, and take this card. After the haunt is revealed, when any hero, traitor, or monster enters that room, you may attempt a Might 7 attack against that opponent.",
19,What Year Is It?!,,"You step through the door and stop. You’ve been here before. Years ago, before The Incident. You catch your reflection in the window and your face looks so young. But this time, you won’t be so naive.","Lose 1 Sanity, and gain 1 Might and 1 Knowledge.
If the haunt has been revealed, the other sidemust read aloud their italicized opening and closing story text. If not, place this card in front of you until the haunt is revealed.",
20,Secret Passage,,"A section of the wall slides away. Behind it, a moldy tunnel awaits.","Put a Secret Passage token in this room. Roll 3 dice and place the second Secret Passage token in:
<rollTable>
You can then use the Secret Passage, even if you don’t have any movement left.
Moving from one Secret Passage token to the other counts as moving one space. (The passage itself doesn’t count as a space.)
On later turns, any explorer can use the Secret Passage. An explorer can’t end their turn in the passage.","6  Any existing room.
4-5  Any existing upper floor room.
2-3  Any existing ground floor room.
0-1  Any existing basement room."
21,Ghost in the Machine,,"The crackling of static startles you as a small television sparks to life. Through the snowy image, you make out the shape of a child playing somewhere in the house. She stops her game, turns toward you, and beckons you to join her. The television goes black once again.","You must attempt a Sanity roll:
<rollTable>","0-2  Lose 1 Might. Put this card in front of you. All explorers can only move 1 space per turn until the start of your next turn, then discard this card.
3+  Draw a roof tile from the room stack, put it in the house, and put your figure in that room."
22,Something Slimy,,"What’s around your ankle?
A bug? A tentacle?
A dead hand clawing?","You must attempt a Speed roll:
<rollTable>","4+  You break free. Gain 1 Speed.
1-3  Lose 1 Might.
0  Lose 1 Might and 1 Speed."
23,The Left Hand,,Your hand begins to itch. Then burn. The pain is overwhelming and you can do nothing but clutch your hand and scream. The scream dies in your throat when you realize you can’t feel anything in it now. You attempt to wiggle your fingers and the hand moves of its own accord toward your throat.,"Choose one:
- Cut off your hand. Lose 1 Might and gain 1 Sanity.
- Replace your hand. Lose 1 Might, and draw an item card.
- Keep your hand. Lose 2 Sanity, gain 1 Might, move to the nearest room with an omen symbol, and draw an omen card.",
24,Possession,,"A shadow separates from the wall. As you stand in shock, the shadow surrounds you and chills you to the core.","You must choose any one trait and attempt a roll for that trait:
<rollTable>","4+  You resist the shadow’s corruption. Gain 1 in a trait of your choice.
0-3  The shadow drains your energy. The chosen trait drops to its lowest value. (It doesn’t drop to the skull.) If that trait is already at its lowest value, lower a different trait to its lowest value."
25,The Voice,,"“I’m under the floor, buried under the floor…”
The voice whispers once, then is gone.","You must attempt a Knowledge roll:
<rollTable>","4+  You find something under the floor. Draw an item card.
0-3  You dig an search for the voice, but to no avail."
26,Hanged Men,,"A breeze chills the room. Before you, three men hang from frayed ropes. They stare at you with cold, dead eyes. The trio swing silently, then fade into dust that falls to the ground. You start to choke.","You must attempt a roll for each trait:
<rollTable>
If you roll a 2+ on all 4 rolls, gain 1 additional point in a trait of your choice.","2+  That trait is unaffected.
0-1  Lose 1 from that trait."
27,Burning Man,,"A man on fire runs through the room. His skin bubbles and cracks, falling away from him and leaving a fiery skull that clatters to the ground, bounces, rolls, and disappears.","You must attempt a Sanity roll:
<rollTable>","4+  You feel a little hot under the collar, but otherwise fine. Gain 1 Sanity.
2-3  Out, out, you must get out. Put your explorer in the Entrance Hall.
0-1  You burst into flames! Take 1 die of physical damage. Then take 1 die of mental damage as you put out the flames."
28,Secret Stairs,,A horrible creaking sound echoes around you. You’ve discovered a secret stairwell.,"Put one Secret Stairs token in this room and a second Secret Stairs token in an existing room on another floor. Moving from one Secret Stairs token to the other counts as moving one space. (The stairs don’t count as a space.)
You can follow the stairs right now, even if you don’t have any movement left. If you do follow them this turn, draw an event card in the new room.",
29,Webs,,"Casually, you reach up to brush some webs aside… but they wont brush away. They cling.","You must attempt a Might roll:
<rollTable>
If you’re stuck, you can’t do anything until you’re freed. Once during an explorer’s turn, any explorer can attempt a Might roll to free you. (You can also attempt this roll.)
A 4+ succeeds, but you don’t gain the 1 Might. Anyone failing an attempt can’t move for the rest of that turn. After 3 unsuccessful attempts, you break free automatically on your next turn and take your turn normally.
When you’re free, discard this event.","4+  You break free. Gain 1 Might and discard this card.
0-3  You’re stuck. Keep this card."
30,Mutant Housepet,,"A mewling. From inside the wall. Is it a cat? A second yowl erupts from the same spot in the wall, a different feline voice. Two cats? You hear only one scratching to get out. Two heads? You claw at the plaster to find out.","You must attempt a Speed roll of 4+. If you fail, take 1 point of physical damage from the pet’s attack. If you succeed, gain 1 Sanity and 1 Speed.",
31,A Moment of Hope,,Something feels strangely right about this room. Something is resisting the evil of the house.,"Place the Blessing token in this room.
Each hero rolls 1 additional die (maximum of 8 dice) on all trait rolls while in this room.",
32,Groundskeeper,,"You turn to see a man in groundskeeper clothing. He raises his shovel and charges. Inches from your face, he disappears, leaving muddy footprints, and nothing more.","You must attempt a Knowledge roll. (An explorer in the Gardens rolls 2 fewer dice on this roll.)
<rollTable>","4+  You find something in the mud. Draw an item card.
0-3  The groundskeeper reappears and strikes you in the face with the shovel. The player on your right rolls a Might 4 attack for the Groundskeeper. You defend against this attack as normal, by rolling dice equal to your Might."
33,Spider,,A spider the size of a fist lands on your shoulder… and crawls into your hair.,"You must attempt a Speed roll to brush it away or a Sanity roll to stand still:
<rollTable>","4+  It’s gone. Gain 1 in this trait you used to attempt this roll.
1-3  It bites you. Take 1 die of physical damage.
0  It takes a chunk out of you. Take 2 dice of physical damage."
34,Misty Arch,,An archway in the wall filled with colored mists.,"You may choose to walk through. Remove your figure from the house and roll 3 dice:
<rollTable>","0  Put your figure in the Entrance Hall. You’ve lost something. Discard an item card.
1-2  You are somehow changed. Put your figure in the Entrance Hall but flip your character card over, resetting all traits to their starting values.
3-4  Put your figure in any room that has an open doorway.
5-6  Put your figure in any room that has an open doorway. Draw an item card."
35,Skeletons,,"Mother and child, still embracing.","Put the Skeletons toekn in this room. Take 1 die of mental damage.
Once during an explorer’s turn, that explorer can attempt a Sanity roll to search the Skeletons:
<rollTable>
Each result affects only the explorer making that roll.","5+  Draw an item card. Remove the Skeletons token.
0-4  You dig around, but find nothing. Take 1 die of mental damage."
36,Revolving Wall,,The wall spins to another place.,"Place the Wall Switch token on a wall without an exit in this room or a corner of this room. If there isn’t a room on the other side of the Wall Switch, draw room tiles until you find one for this floor, then put it in the house. (If there are no more rooms on this floor, discard this card.) Then put your explorer in that room.
Once during an explorer’s turn, if that explorer is in either room, they can attempt a Knowledge roll to use the Wall Switch:
<rollTable>","3+  That explorer finds the hidden switch and goes through. This doesn’t count as moving a space.
0-2  That explorer can’t find the hidden switch and can’t go through."
37,Mystic Slide,"If you’re in the basement, this event affects the next explorer to your left not in the basement. Discard this card if all of the explorers are in the basement.",The floor falls from under you.,"Place the Slide token in this room, then attempt a Might roll to use the Slide.
<rollTable>
On later turns, any explorer can attempt this roll to use the Slide.","5+  You control the Slide. Put yourself in any explored room on any floor below the Slide.
0-4  Draw tiles from the room stack until you draw a basement room. Place the room tile. (If no basement rooms are in the stack, choose a basement room in play.) You fall to that room and take 1 die of physical damage. If it’s not your turn, don’t draw a card for that room."
38,The Walls,,This room is warm. Flesh-like walls pulse with a steady heartbeat. Your own heart beats with the rhythm of the house. You are drawn into the walls… and emerge somewhere else.,You must draw the next room tile and put it in the house. Put your explorer in that room.,
39,Debris,,Plaster falls from the walls and ceiling.,"You must attempt a Speed roll:
<rollTable>
If you’re buried, keep this card. You can’t do anything until you’re freed. Once during an explorer’s turn, that explorer can attempt a Might roll to free you. (You can also attempt this roll.) A 4+ succeeds. After 3 unsuccessful attempts, you break free automatically on your next turn and take your turn normally.
Discard this card when you’re free.","3+  You dodge the plaster. Gain 1 Speed.
1-2  You’re buried in debris. Take 1 die of physical damage.
0  You’re buried in debris. Take 2 dice of physical damage."
40,Locked Safe,,"Behind a portrait is a wall safe. It is trapped, of course.","Put a Safe token in this room.
Once during an explorer’s turn, that explorer can attempt a Knowledge roll to open the Safe:
<rollTable>","5+  Draw 2 item cards and remove the Safe token.
2-4  Take 1 die of physical damage. The Safe won’t open.
0-1  Take 2 dice of physical damage. The Safe won’t open."
41,Drip… Drip… Drip…,,A rhythmic sound that needles at your brain.,"Put the Drip token in this room.
Each explorer rolls 1 fewer die (minimum of 1) on all trait rolls while in this room.",
42,Bloody Vision,,"The walls of this room are damp with blood. The blood drips from the ceiling, down the walls, over the furniture, and onto your shoes. In a blink, it is gone.","You must attempt a Sanity roll:
<rollTable>","4+  You steel yourself. Gain 1 Sanity.
2-3  Lose 1 Sanity.
0-1  If an explorer or monster is in your room or an adjacent one, you must attack it (if you can). Choose the explorer with the lowest Might, if possible."
43,Lights Out,,"Your flashlight goes out. Don’t worry, someone else has batteries.","Keep this card. You can move only 1 space each turn until you end your turn in the same room as another explorer. At the end of that turn, discard this card. Then you can move normally again.
If you have the Candle or end your turn in the Furnace Room, discard this card.",
44,Angry Being,,It emerges from the slime on the wall next to you.,"You must attempt a Speed roll:
<rollTable>","5+  You get away. Gain 1 Speed.
2-4  Take 1 die of mental damage.
0-1  Take 1 die of mental damage and 1 die of physical damage."
45,It is Meant to Be,,"You collapse to the floor, visions of future events pouring through your head.","Choose one of these 2 options:
- You can look at the top 3 tiles or cards of any one stack. If you do, rearrange those 3 tiles or cards in any order and put them back on top. Do not tell anyone the results.
- You can choose instead to roll 4 dice and write down the result. For one future die roll of your choice that you attempt, you can use that number instead of rolling. If that number is higher than the maximum possible result, use the maximum possible result instead.",
46,Rotten,,"The smell in this room, it’s horrible. Smells like death, like blood. A slaughterhouse smell.","You must attempt a Sanity roll:
<rollTable>","5+  Troubling odors, nothing more. Gain 1 Sanity.
2-4  Lose 1 Might.
1  Lose 1 Might and 1 Speed.
0  You double over with nausea. Lose 1 Might, 1 Speed, 1 Knowledge, and 1 Sanity."
47,The Beckoning,,"Outside.
You must get outside.
Fly to freedom!","Each explorer in the Gardens, Graveyard, Tower, on the Balcony, or in a room with an outside-facing window must attempt a Sanity roll:
<rollTable>
Each result affects only the explorer making that roll.","3+  You back away from the ledge.
0-2  You jump to the Patio. (If it isn’t in the house, search the room stack for it, put it in the house, and shuffle that stack.) Put your explorer there and take 1 die of physical damage."
48,Hideous Shriek,,"It starts like a whisper, but ends in a soul-rending shriek.","Each explorer must attempt a Sanity roll:
<rollTable>
Each result affects only the explorer making that roll.","4+  You resist the sound.
1-3  Take 1 die of mental damage.
0  Take 2 dice of mental damage."
49,Closet Door,,That closet door is open… just a crack. There must be something inside.,"Put the Closet token in this room.
Once during an explorer’s turn, that explorer can roll 2 dice to open the Closet:
<rollTable>","4  Draw an item card.
2-3  Draw an event card.
0-1  Draw an event card and remove the Closet token."
50,The Lost One,,A woman wearing a Civil War dress beckons to you. You fall into a trance.,"You must attempt a Knowledge roll. If the result is 5 or more, you break out of your trance and gain 1 Knowledge; otherwise, roll 3 dice to see where the Lost One leads you:
<rollTable>
If this card requires you to draw a room tile for a specific floor, put that tile in the house, and put your explorer there. If you reach the end of the stack without drawing a room for the floor you rolled, put your explorer in the Entrance Hall instead.","6  Put your explorer in the Entrance Hall.
4-5  Put your explorer in the Upper Landing.
2-3  Draw room tiles until you find an upper floor room.
0-1  Draw room tiles until you find a basement room."
51,Image in the Mirror,"If you don’t have any item cards, this event affects the next explorer to your left with an item card. Discard this card if no explorer has an item card.",,"There is an old mirror in this room. Your frightened reflection moves on its own. You realize it is you from another time. You need to help your reflection, so you write on the mirror:
“This will help”
You then hand an item through the mirror.
Choose one of your item cards (not an omen card) and put it on the item stack. Then shuffle that stack. Gain 1 Knowledge.",
52,Creepy Crawlies,,"A thousand bugs spill out of your skin, under clothes, and in your hair.","You must attempt a Sanity roll:
<rollTable>","5+  You blink, and they’re gone. Gain 1 Sanity.
1-4  Lose 1 Sanity.
0  Lose 2 Sanity."
53,Night View,,"You see a vision of a ghostly couple walking the grounds, silently strolling in their wedding best.","You must attempt a Knowledge roll:
<rollTable>","5+  You recognize the ghosts as former inhabitants of the house. You call their names, and they turn to you, whispering dark secrets of the house. Gain 1 Knowledge.
0-4   You pull back in horror, unable to watch."
54,Smoke,,"Smoke billows around you. You cough, wiping away tears.",Put the Smoke token in this room. The Smoke blocks line of sight from adjacent rooms. An explorer rolls 2 fewer dice (minimum of 1 die) on all trait rolls while in this room.,
55,Contract,,Here’s a contract for power in return for your soul.,"You may sign the contract. If you do, attempt a Knowledge roll to read the fine print:
<rollTable>","0-1  You sign your soul away for nothing. Lose 1 Sanity.
2-3  You lose your soul but you gain power. Lose 1 Sanity. Draw an item card.
4  You find a small loophole and keep your soul. Draw an item card.
5+  You find the contract isn’t binding and keep your soul. Gain 1 Sanity. Draw an item card."
